timestamp,tweet_text,username,all_hashtags,retweet_count,favourites_count
2019-12-03 12:01:12,Türkiye’nin #BallonDor ’daki tercihleri;  1️⃣ #VanDijk 2️⃣ #Ronaldo 3️⃣ #Mbappe 4️⃣ #Salah 5️⃣ #Messi https://t.co/V76vtaASoI,DeportesReports,"[u'BallonDor', u'VanDijk', u'Ronaldo', u'Mbappe', u'Salah', u'Messi']",23717
2019-12-03 11:52:22,Türkiye’nin #BallonDor’daki tercihleri;  1️⃣ #VanDijk 2️⃣ #Ronaldo 3️⃣ #Mbappe 4️⃣ #Salah 5️⃣ #Messi https://t.co/ZDDwE8vxTl,yenisafakspor,"[u'BallonDor', u'VanDijk', u'Ronaldo', u'Mbappe', u'Salah', u'Messi']",88828
2019-12-03 09:01:28,#ICYMI: Lionel Messi beat Virgil van Dijk to the Ballon d'Or to win football's most prestigious individual prize for a record sixth time on Tuesday. Is Messi undeserving of sixth Ballon d'Or title?  #Messi #Ronaldo #VanDijk #BallondOr #Barcelona #Juventus #Liverpool #Koretbet https://t.co/vJLBhJjlUt,koretbet,"[u'ICYMI', u'Messi', u'Ronaldo', u'VanDijk', u'BallondOr', u'Barcelona', u'Juventus', u'Liverpool', u'Koretbet']",27
2019-12-03 08:57:47,Who is the best footballer in the world? #BallonDor #messi #vandijk #ronaldo #FIFA,glippy26,"[u'BallonDor', u'messi', u'vandijk', u'ronaldo', u'FIFA']",583
2019-12-03 08:27:48,CONGRATULATIONS TO ALL WINNERS YESTERDAY . TODAY'S FIXED MATCHES ARE NOW AVAILABLE. YOU CAN  CONTACT ME DIRECTLY ON 📞+2349020188427. #BallonDor #Messi #PrinceAndew #leomessi #AneleHoyana #Ronaldo #Mane #Salah #VanDijk #Shiloh2019 #TuesdayMorning #ChristJesus #Drogba #Piers https://t.co/ee8fQZst4V,MRBESTFIXED1,"[u'BallonDor', u'Messi', u'PrinceAndew', u'leomessi', u'AneleHoyana', u'Ronaldo', u'Mane', u'Salah', u'VanDijk', u'Shiloh2019', u'TuesdayMorning', u'ChristJesus', u'Drogba', u'Piers']",716
2019-12-03 08:22:24,REVEALED! 😮😮  The details of which country voted for which player for #BallonDor2019 🏆 has been released.  Full list here.  #BallonDor #Messi #Ronaldo #VanDijk #Salah #Mane   https://t.co/X0XVCNJRYw,FOXSportsAsia,"[u'BallonDor2019', u'BallonDor', u'Messi', u'Ronaldo', u'VanDijk', u'Salah', u'Mane']",58108
2019-12-03 08:21:08,CONGRATULATIONS TO ALL WINNERS YESTERDAY . TODAY'S FIXED MATCHES ARE NOW AVAILABLE. YOU CAN  CONTACT ME DIRECTLY ON 📞+2348159625282. #BallonDor #Messi #PrinceAndew #leomessi #AneleHoyana #Ronaldo #Mane #Salah #VanDijk #Shiloh2019 #TuesdayMorning #ChristJesus #Drogba #Piers https://t.co/lh2vMeqVrF,Dynastyodds,"[u'BallonDor', u'Messi', u'PrinceAndew', u'leomessi', u'AneleHoyana', u'Ronaldo', u'Mane', u'Salah', u'VanDijk', u'Shiloh2019', u'TuesdayMorning', u'ChristJesus', u'Drogba', u'Piers']",1043
2019-12-03 08:08:02,Click and get the song 'without you' https://t.co/upcU2tLZ7J #BallonDor #BalondeOro #GOAT #Panorama #BLACKCOFFEE #Opay #ipone6 #fool #Ronaldo #Piers #Drogba #Virgil #MESSIX #Messi #daura #sneijder #FCBarcelona #keyamo #3rdDecember #VanDijk #ROSE #ARMYSelcaDay #Skol #Perez https://t.co/em1PUMfWDd,yakubumohammed_,"[u'BallonDor', u'BalondeOro', u'GOAT', u'Panorama', u'BLACKCOFFEE', u'Opay', u'ipone6', u'fool', u'Ronaldo', u'Piers', u'Drogba', u'Virgil', u'MESSIX', u'Messi', u'daura', u'sneijder', u'FCBarcelona', u'keyamo', u'3rdDecember', u'VanDijk', u'ROSE', u'ARMYSelcaDay', u'Skol', u'Perez']",67343
2019-12-03 07:54:17,Liverpool defender Virgil Van Dijk happy to lose Ballon d'Or to a better player👏🏽👏🏽😄*  Read here👇🏽👇🏽👇🏽👇🏽👇🏽  https://t.co/29lcIk23fh  #BallonDor2019 #BallonDor #BalondeOro #Messi #VanDijk #GOAT #piersmorgan #Ballon #MessiBallonDor2019 #Ronaldo,KingDavidObas,"[u'BallonDor2019', u'BallonDor', u'BalondeOro', u'Messi', u'VanDijk', u'GOAT', u'piersmorgan', u'Ballon', u'MessiBallonDor2019', u'Ronaldo']",953
2019-12-03 07:51:44,Thank fk that  overrated former #Southampton defender didn’t win the #BallonDor2019 #BallonDor ffs !! Imagine the #lfc #Liverpool fans !!? #Messi #Ronaldo #VanDijk,geesingh7,"[u'Southampton', u'BallonDor2019', u'BallonDor', u'lfc', u'Liverpool', u'Messi', u'Ronaldo', u'VanDijk']",19
2019-12-03 07:08:49,Cristiano Ronaldo explaining why he didn’t turn up to the #BallonDor   ceremony yesterday night...  #BallonDor2019 #BallonDor #Messi #Ronaldo #Liverpool #VanDijk https://t.co/cVus4GezMt,BTips4you,"[u'BallonDor', u'BallonDor2019', u'BallonDor', u'Messi', u'Ronaldo', u'Liverpool', u'VanDijk']",1428
2019-12-03 06:56:44,Messix ⚽️🖐🏻➕1️⃣🏆 📸: #picoftheday #gettyimages • • • #messi #leomessi #lionelmessi #messix #fcbarcelona #fcb #ballondor #cristianoronaldo #ronaldo #vandijk #mbappe #griezmann #modric #azulgrana #campnou #noucamp… https://t.co/6SALBKqlJK,Jhansd,"[u'picoftheday', u'gettyimages', u'messi', u'leomessi', u'lionelmessi', u'messix', u'fcbarcelona', u'fcb', u'ballondor', u'cristianoronaldo', u'ronaldo', u'vandijk', u'mbappe', u'griezmann', u'modric', u'azulgrana', u'campnou', u'noucamp']",6189
2019-12-03 06:53:03,"If goals is the major determinant factor in winning football Awards, then it's obvious the game is discriminatory!!!   #BallonDor2019 #BallonDor #Messi #Fifa #awards #Ronaldo #discrimination #VanDijk #football",nollymovies_tv,"[u'BallonDor2019', u'BallonDor', u'Messi', u'Fifa', u'awards', u'Ronaldo', u'discrimination', u'VanDijk', u'football']",71
2019-12-03 06:14:35,I can't stop thanking you @gamearenafixedd my game won. Thank you so much for this winning sir i really appreciate. #Daura #Piers #Messi #iphone6 #GGDC19 #ProdigalSon #BallonDor #VanDijk #Modric #Mane #GOAT #Ronaldo  #FACupDraw #kopatrophy #Buhari #Nigeria #EFCCFightsForYou https://t.co/qJLB7bB3Rz,Ejimaigwelo,"[u'Daura', u'Piers', u'Messi', u'iphone6', u'GGDC19', u'ProdigalSon', u'BallonDor', u'VanDijk', u'Modric', u'Mane', u'GOAT', u'Ronaldo', u'FACupDraw', u'kopatrophy', u'Buhari', u'Nigeria', u'EFCCFightsForYou']",142
2019-12-03 05:42:08,"You can't blame Van Dijk for his outburst over CR7 absence. Having lost a Champions League final and a Nations League final to Ronaldo, anyone would be hurt. 😂  #Ronaldo  #BallonDor2019 #Messi #BallonDor #VanDijk",nazirribadu,"[u'Ronaldo', u'BallonDor2019', u'Messi', u'BallonDor', u'VanDijk']",599
2019-12-03 03:56:20,Congratulations leomessi on winning the 6th #ballondor  #6ballondor #ballondor2019 #vandijk #ronaldo #cr7 #messi #lionelmessi #magicalmessi #messilovers #fcbarcelona #blaugrana #messivideos #leomessi #leomessi10… https://t.co/N5IZFdV2ug,nawaz_sagri,"[u'ballondor', u'6ballondor', u'ballondor2019', u'vandijk', u'ronaldo', u'cr7', u'messi', u'lionelmessi', u'magicalmessi', u'messilovers', u'fcbarcelona', u'blaugrana', u'messivideos', u'leomessi', u'leomessi10']",217
2019-12-03 01:59:49,#BallonDor  2019 winner: #Messi beats #VanDijk &amp; #Ronaldo for best player award  #BallonDor2019 https://t.co/1J9g7tZFqJ,HussainShaikhh,"[u'BallonDor', u'Messi', u'VanDijk', u'Ronaldo', u'BallonDor2019']",85
2019-12-03 01:25:34,"""Was he really a rival then?"" 👀  @VirgilvDijk has had to clarify his comments about @Cristiano he made during the #BallondOr ceremony!  #Ronaldo #VanDijk #Messi #BallonDor2019   https://t.co/IBbYM6Stqm",FOXSportsAsia,"[u'BallondOr', u'Ronaldo', u'VanDijk', u'Messi', u'BallonDor2019']",58108
